job title,company name,date,location,skills,links
Odoo Developer - Remotely (Urgently),Confidential -,26 days ago,"Cairo, Egypt ",Full TimePart TimeWork From HomeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Python · Odoo · IT · Information Technology (IT) · Computer Science · Telecom Engineering,/jobs/p/Ud8GKb5NywOt-Odoo-Developer---Remotely-Urgently-Cairo-Egypt?o=75&l=sp&t=sj&a=python|search-v3|hpb
Senior Odoo Developer,Archer Solutions -,27 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · OpenERP · Python · PostgreSQL · Ubuntu · Github · Computer Engineering · Computer Science,/jobs/p/0nO05mENLEVC-Senior-Odoo-Developer-Archer-Solutions-Cairo-Egypt?o=76&l=sp&t=sj&a=python|search-v3|hpb
Senior Devops Engineer,Confidential -,30 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Programming · IT · computer · Software Development · Kubernetes · Software Testing · Python,/jobs/p/I5JsTIacEnwN-Senior-Devops-Engineer-Cairo-Egypt?o=77&l=sp&t=sj&a=python|search-v3|hpb
Data Analyst / Senior Data Analyst / Data Architect,National System LLC -,1 month ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Banking · Analyst/Research · Data Analysis · Data · Analysis · Data Analyst · Senior Data Analyst · Data Architecture · Data Architect · Data Science,/jobs/p/y7LpQDPafNJr-Data-Analyst-Senior-Data-Analyst-Data-Architect-National-System-LLC-Cairo-Egypt?o=78&l=sp&t=sj&a=python|search-v3|hpb
Devops Engineer,EXALT Technologies -,1 month ago,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software · Software Development · Software Engineering · Computer Science · SW Development · Python · Bash Scripting · DevOps,/jobs/p/1g6RgZBnYRKL-Devops-Engineer-EXALT-Technologies-Cairo-Egypt?o=79&l=sp&t=sj&a=python|search-v3|hpb
Senior Data Intelligence Engineer,ARROW Electronics  -,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Engineering - Telecom/Technology · Python · Information Technology (IT) · Software,/jobs/p/TsMhLnpM9Qti-Senior-Data-Intelligence-Engineer-ARROW-Electronics-Cairo-Egypt?o=80&l=sp&t=sj&a=python|search-v3|hpb
Chief Technology Officer,Mobile Wave 3 -,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeSenior Management · 10 - 20 Yrs of Exp · Project/Program Management · Engineering - Telecom/Technology · business · Computer Engineering · CTO · English · Finance · Information Technology (IT) · Python · Leadership,/jobs/p/d1mgFadsUh37-Chief-Technology-Officer-Mobile-Wave-3-Cairo-Egypt?o=81&l=sp&t=sj&a=python|search-v3|hpb
Backend Developer Node.JS,Kortobaa LLC -,1 month ago,"Alexandria, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Node.js · PHP · Software Development · Engineering · AWS · JavaScript,/jobs/p/zsknpoNSCqg8-Backend-Developer-NodeJS-Kortobaa-LLC-Alexandria-Egypt?o=82&l=sp&t=sj&a=python|search-v3|hpb
Senior Machine Learning Engineer,Nana -,1 month ago,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Machine Learning · Python · JavaScript · r · Computer Science · Information Technology (IT) · Mathematics,/jobs/p/faQnVZ9r9Ght-Senior-Machine-Learning-Engineer-Nana-Cairo-Egypt?o=83&l=sp&t=sj&a=python|search-v3|hpb
Devops Engineer,KnowledgeNet -,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Engineering · Computer Science · DevOps · Engineering · Information Technology (IT) · JavaScript,/jobs/p/8Tdpnh0XnXsi-Devops-Engineer-KnowledgeNet-Cairo-Egypt?o=84&l=sp&t=sj&a=python|search-v3|hpb
System Administrator,Premier Services and Recruitment -,1 month ago,"Smart Village, Giza, Egypt ",Full TimeExperienced · 3 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · System Administration · Database · Linux · SQL · Python · Unix/Linux · Engineering,/jobs/p/ERbLUc2iuARb-System-Administrator-Premier-Services-and-Recruitment-Giza-Egypt?o=85&l=sp&t=sj&a=python|search-v3|hpb
QA Automation Engineer - Cairo,EXALT Technologies -,1 month ago,"Cairo, Egypt ",Full TimeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Computer Engineering · Information Technology (IT) · Python · Django · Design Patterns · Unit Testing,/jobs/p/ABHgueDCOkrP-QA-Automation-Engineer---Cairo-EXALT-Technologies-Cairo-Egypt?o=86&l=sp&t=sj&a=python|search-v3|hpb
Cloud Solutions Engineer,Ashtar.app -,1 month ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Cloud · Engineering · Information Technology (IT) · Linux · Networking · Computer Science · Telecom Engineering,/jobs/p/qLAoZdk2cUlo-Cloud-Solutions-Engineer-Ashtar-app-Cairo-Egypt?o=87&l=sp&t=sj&a=python|search-v3|hpb
Regular QA Automation Engineer,Luxoft (A DXC Technology Company) -,1 month ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · Quality · Engineering - Other · QA Automation · Python · Computer Science · English · Information Technology (IT) · QA · Quality Assurance · Testing,/jobs/p/9JpufoDh7lYB-Regular-QA-Automation-Engineer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=88&l=sp&t=sj&a=python|search-v3|hpb
Senior DevOps Engineer,WorkMotion -,1 month ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Docker · Engineering · Information Technology (IT) · Jenkins · Kubernetes · Python · Terraform,/jobs/p/eHH9OdwHjsfn-Senior-DevOps-Engineer-WorkMotion-Cairo-Egypt?o=89&l=sp&t=sj&a=python|search-v3|hpb
DevOps Team Lead,Trufla -,1 month ago,"Heliopolis, Cairo, Egypt ",Full TimeManager · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Azure · Docker · MySQL · Python · Software Engineering · Information Technology (IT) · Linux,/jobs/p/bjPMpXuN9kiF-DevOps-Team-Lead-Trufla-Cairo-Egypt?o=90&l=sp&t=sj&a=python|search-v3|hpb
E-Commerce Tech Lead,Dimensions Cloud -,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeManager · 7 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · E-Commerce · Information Technology (IT) · Software · Software Development · PHP · Node.js · React · B2B,/jobs/p/ZTaaygiSRDEc-E-Commerce-Tech-Lead-Dimensions-Cloud-Cairo-Egypt?o=91&l=sp&t=sj&a=python|search-v3|hpb
